Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
15115,114,2.0,43.87411374260457,27.24881159189423,6.0,10,12.0,1967,0.327018035,B,B,12,2270,23,2500.0,1,0,B
4816,89,2.0,58.69490814155216,37.92669749860402,7.0,4,8.0,1963,0.151346216,B,A,32,5889,10,830.0,4,1,B
5037,57,1.0,43.65228799732215,23.673360537108827,8.0,2,14.0,2003,0.133215333,B,B,49,11395,3,1406.0,3,4,A
8885,9,2.0,39.594201899786405,25.09839501890793,5.0,5,5.0,1977,0.136244425,B,B,11,2370,0,,0,1,B
5777,19,1.0,41.08796654050919,21.541109877625733,7.0,4,17.0,2004,0.309479124,B,B,35,7715,4,990.0,0,6,B
9101,124,1.0,31.813360216676827,21.86835875403738,5.0,5,5.0,1961,0.16909109,B,B,19,3856,10,,2,5,B
5855,13,3.0,63.29018685123396,47.49428440286018,6.0,8,12.0,1973,0.090799103,B,B,74,19083,2,,5,15,B
5567,53,2.0,46.64851750231363,29.934411104951447,5.0,5,9.0,1973,0.313924552,B,B,22,4625,11,3855.0,2,10,B
6208,90,1.0,44.827681736643534,20.377861178948454,10.0,10,24.0,2010,0.246031548,B,A,22,3151,4,2715.0,3,3,B
7394,148,3.0,79.67085654838417,48.503318502740136,6.0,18,33.0,2015,0.313924552,B,B,22,4625,11,3855.0,2,10,B
1580,4,3.0,66.88700413597114,39.40710929174745,5.0,3,5.0,1930,0.042031587,B,B,37,6856,84,1940.0,2,5,B
3879,143,2.0,52.733950312148544,34.71890116429108,8.0,13,16.0,1984,0.049863387,B,B,18,3746,9,75.0,3,1,B
1210,156,2.0,61.26185113436299,35.55749544272813,12.0,12,17.0,2010,0.007658515,B,B,35,7077,56,2301.0,3,19,B
4385,46,2.0,58.87737157486303,31.59340051277945,8.0,13,16.0,1981,0.0,B,B,47,11319,0,1145.0,3,5,B
3258,1,2.0,61.36273478271861,,1.0,4,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B
11286,1,2.0,62.16728312575921,,0.0,11,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1588,34,3.0,83.39982784722473,45.49308652179234,9.0,4,22.0,1996,0.069753361,B,B,53,13670,4,,1,11,B
12749,21,2.0,49.01197643712825,27.98019469201397,5.0,6,5.0,1969,0.194489265,B,B,47,8004,3,125.0,3,5,B
1352,161,2.0,44.53759922228132,32.77947494030346,5.0,6,5.0,1966,0.195781053,B,B,23,5212,6,,3,2,B
7048,75,1.0,32.818082647218496,19.213318712173,5.0,3,14.0,1965,0.122090347,B,B,29,6566,7,1894.0,4,0,B
